TITLE,COMPANY,LOCATION,SALARY
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka","₹2,00,000 - ₹4,00,000 a year"
Accounts Administration,care labs,,"₹3,00,000 - ₹6,00,000 a year"
Admin/finance in-charge,Sense Kaleidoscopes - A Unit of Ayathi Trust,,"₹20,000 - ₹30,000 a month"
Trainee,Siemens AG,,
Quantity Surveyor,Sunniva construction,,"₹20,000 - ₹30,000 a month"
Accounts Payable Assistant,EisnerAmper Fund Services,,"₹5,00,000 - ₹6,00,000 a year"
Data Science Associate,ZS Associates,,
Company Secretary,CNTC India Projects,,
Intern,Philips,,
R2A A2,Capgemini,,
Social Media Executive,Zolostays,,"₹20,000 - ₹30,000 a month"
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Social Media Executive,Zolostays,,"₹20,000 - ₹30,000 a month"
Admissions Officer,Sherwood High Home,,
"KYC Remediation (KYC) Operator, AS",Deutsche Bank,,
"KYC-Global KYC, AML (Anti Money Laundering)",Accenture,,
Hotel Receptionist,The Byke Signature,,
Finance & Administration Officer,Swami Vivekananda Youth Movement,,
"Administrative Business Partner, Apps",Google,,
Intern,IBM,,
Store Executive,JLL,,
Social Media Intern,BOOKMYPERSONALLOAN,,"₹3,00,000 - ₹4,00,000 a year"
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka","₹2,00,000 - ₹4,00,000 a year"
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
Project Coordinator,JSE INFRATECH PVY LTD,,
R&A_Associate,EY,,
Project Document Controller,Vitana Projects,,
Soft Skill Trainer,Vaps Technosoft Pvt Ltd,,"₹30,000 - ₹35,000 a month"
Join Zomato as food delivery boy/Rider/Biker/Driver/Fresher,Zomato Media Private Limited,,"₹40,000 - ₹45,000 a month"
handler,FedEx Express MEISA,,
Project Coordinator,Valuepoint Knowledgeworks,,"₹2,00,000 - ₹3,00,000 a year"
Intern,Honeywell,,
Document Controller,SUEZ,,
Customer Service Associate - Voice,Bolster Legal PVT LTD,,"₹20,000 - ₹25,000 a month"
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
Customer Service Associate - Voice,Bolster Legal PVT LTD,,"₹20,000 - ₹25,000 a month"
Administrative executive,PCR GROUP,,
Executive Assistant/Secretary,Tamara Leisure Experiences Pvt Ltd,,"₹18,000 - ₹23,000 a month"
Admissions Officer - Hebbal,Aakash Educational Services Pvt. Ltd,,"₹5,00,000 - ₹6,00,000 a year"
Recruitment Evangelist,Indeed,,"₹31,70,000 - ₹41,30,000 a year"
Intern QA,BlueJeans,,
Sr. MIS Executive,Premier Tissues India Ltd,,"₹18,000 - ₹25,000 a month"
Record to report (R2R) - Inventory Accounting,HP,,
Executive Assistant to CEO,Flux Auto,,"₹2,00,000 - ₹5,00,000 a year"
Inventory In-charge,Pharmatree Corporation,,
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
Inventory In-charge,Pharmatree Corporation,,
Finance & Accounts Executive,GoWelnext Solutions Private Limited,,"₹25,000 - ₹30,000 a month"
IT- Assistant- Administrator,prem textiles,,"₹25,000 - ₹30,000 a month"
Admissions Officer,The Mutha School,,"₹20,000 - ₹25,000 a month"
Business Navigator,Ikea,,
Know Your Client (KYC) Operato,Deutsche Bank,,
Verification Intern,Synaptics,,
Pharmacovigilance -Freshers,Whyflex Human Capital Solutions,,
Expense Auditor,Cerner Corporation,,
Looking for Hotel Receptionist/Front Desk Executive - Freshe...,ArpanAryan Institutions Pvt Ltd,,
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
MSC cosmetics,M.s.kothari & associates,,"₹25,000 - ₹30,000 a month"
Principal ICSE,AcadsHR,,"₹1,50,000 - ₹2,00,000 a month"
Office 365 Build and Administrator / O365 Build and Admin,THBS,,
Store Keeper,Pasta Street India Pvt Ltd,,"₹10,000 - ₹12,000 a month"
Quantity Surveyor,Cleekart Interio Pvt Ltd,,"₹3,000 - ₹5,000 a month"
Customer Service Representative,GlowRoad,,"₹20,000 - ₹30,000 a month"
TIBCO-ADMIN,Larsen & Toubro Infotech Limited,,
Reference Data Operator,Deutsche Bank,,
Quantity Surveyor- Site,Brinmor Constructions Pvt. Ltd,,
Project Fellows,Central Manufacturing Technology Institute (CMTI),,"₹28,000 a month"
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
Project enggineer,Damden Properties,,"₹25,000 - ₹40,000 a month"
Team Member - DRO,JPMorgan Chase,,
Supply Executive,Poonam IT Consulting,,"₹20,000 - ₹25,000 a month"
Support and Administration Executive for a Leading IATA Trav...,THE TRAVEL TECH,,"₹2,50,000 - ₹4,00,000 a year"
IT Support Technician,VF Corporation,,
Bartender and Waiter,ICON HOTEL,,"₹12,000 - ₹15,000 a month"
Accounts Executive,Lavonne Hospitality,,"₹2,40,000 - ₹3,00,000 a month"
Fresher Amazon / Non Voice Process,Amigo Ad Consultancy,,
MIS cum Admin Executive,Greenway appliances put ltd,,"₹15,000 - ₹30,000 a month"
Inside Sales US Market,Tescra Software,,"₹4,00,000 - ₹9,00,000 a month"
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka","₹1,44,000 a year"
Customer Support Executive,MiniJoy,"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month"
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a month"
