TITLE,COMPANY,LOCATION,SALARY
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Writer - Ex Journalist,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Accounts Administration,care labs,,450000.0
Office Assistant,Iconivo Tyrants Pvt Ltd,,240000.0
Admin/finance in-charge,Sense Kaleidoscopes - A Unit of Ayathi Trust,,300000.0
Accounts Payable Assistant,EisnerAmper Fund Services,,550000.0
Trainee,Siemens AG,,
Quantity Surveyor,Sunniva construction,,300000.0
Store Executive,JLL,,
"KYC-Global KYC, AML (Anti Money Laundering)",Accenture,,
Intern,Philips,,
Finance & Administration Officer,Swami Vivekananda Youth Movement,,
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Data Science Associate,ZS Associates,,
Front Office Executive,Auma India Pvt Ltd,,210000.0
R2A A2,Capgemini,,
Inventory In-charge,Pharmatree Corporation,,
Admissions Officer,Sherwood High Home,,
"KYC Remediation (KYC) Operator, AS",Deutsche Bank,,
Record to report (R2R) - Inventory Accounting,HP,,
R&A_Associate,EY,,
"Administrative Business Partner, Apps",Google,,
Document Controller,SUEZ,,
Professional Writer - Ex Journalist,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Writer - Ex Journalist,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Project Document Controller,Vitana Projects,,
Intern,Honeywell,,
Finance & Accounts Executive,GoWelnext Solutions Private Limited,,330000.0
Company Secretary,CNTC India Projects,,
Customer Service Associate - Voice,Bolster Legal PVT LTD,,270000.0
Soft Skill Trainer,Vaps Technosoft Pvt Ltd,,390000.0
Looking for Hotel Receptionist/Front Desk Executive - Freshe...,ArpanAryan Institutions Pvt Ltd,,
handler,FedEx Express MEISA,,
Verification Intern,Synaptics,,
Intern QA,BlueJeans,,
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Professional Writer - Ex Journalist,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Admissions Officer - Hebbal,Aakash Educational Services Pvt. Ltd,,550000.0
Project Coordinator,Valuepoint Knowledgeworks,,250000.0
Executive Assistant/Secretary,Tamara Leisure Experiences Pvt Ltd,,246000.0
Intern,IBM,,
System Administrator,Hashtaag™ Technologies Private Limited,,375000.0
Administrative executive,PCR GROUP,,
Hotel Receptionist,The Byke Signature,,
Social Media Executive,Zolostays,,300000.0
IT- Assistant- Administrator,prem textiles,,330000.0
Principal ICSE,AcadsHR,,2100000.0
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Customer Service Representative,GlowRoad,,300000.0
Office 365 Build and Administrator / O365 Build and Admin,THBS,,
Airport ticketing executive,Sachin academy,,270000.0
Know Your Client (KYC) Operato,Deutsche Bank,,
Front Office Receptionist,J.J. Technologies,,108000.0
Corporate Sales Executive,BENCHMARK Incentive and Leisure Travels Pvt Ltd,,390000.0
Project Coordinator,JSE INFRATECH PVY LTD,,
Executive Assistant to CEO,Flux Auto,,350000.0
Store Keeper,Pasta Street India Pvt Ltd,,132000.0
Trainee - Records to Report,Siemens AG,,
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Talent Researcher,Philips,,
Support and Administration Executive for a Leading IATA Trav...,THE TRAVEL TECH,,325000.0
Recruitment Evangelist,Indeed,,3650000.0
Join Zomato as food delivery boy/Rider/Biker/Driver/Fresher,Zomato Media Private Limited,,510000.0
Business Navigator,Ikea,,
MSC cosmetics,M.s.kothari & associates,,330000.0
Inside Sales US Market,Tescra Software,,7800000.0
Verification Processing Agent - Background Verification,iCOVER India Information and Services Private Limi...,,300000.0
site Store supervisor,Milestone Aluminium,,330000.0
Quantity Surveyor,Cleekart Interio Pvt Ltd,,48000.0
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
CSR(Customer Support Executive),Udaan,,348000.0
Quality Controller -Woven,H&M,,
Project Fellows,Central Manufacturing Technology Institute (CMTI),,336000
Social Media Intern,BOOKMYPERSONALLOAN,,350000.0
IT Support Technician,VF Corporation,,
Watson Customer Engagement Support Engineer_L2_EDI,IBM,,
Procurement Operations Associate,Hewlett Packard Enterprise,,
Executive Assistant,Mee 2 Bee Smart Services,,625000.0
"Associate, Bankruptcy",Ocwen Financial Corporation,,
Associates for NCA KYC task,Deutsche Bank,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Assistant Administrator,"Euro Kids, R T Nagar","R. T. Nagar, Bengaluru, Karnataka",144000
Customer Care Executive (0 to 2 years),SlicePay,"Bengaluru, Karnataka",3300000.0
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Sr. MIS Executive,Premier Tissues India Ltd,,258000.0
Admissions Officer,The Mutha School,,270000.0
Quantity Surveyor- Site,Brinmor Constructions Pvt. Ltd,,
Store Assistant,MAAN Restaurants India Pvt Ltd,,270000.0
TIBCO-ADMIN,Larsen & Toubro Infotech Limited,,
MIS cum Admin Executive,Greenway appliances put ltd,,270000.0
Project enggineer,Damden Properties,,390000.0
Process Associate - Accounts Payable,Siemens AG,,
Reference Data Operator,Deutsche Bank,,
Team Member - DRO,JPMorgan Chase,,
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Personalized Internet Assessor Kannada Language,Lionbridge,"Bengaluru, Karnataka",
Professional Copy Writer,CHAKRA DIGITAL,"Bengaluru, Karnataka",
Customer Support Executive,ONE POINT ONE SOLUTION,"Bommanahalli, Hosur Road, Karnataka",300000.0
Data Processing Internship,Kantar IMRB,,180000
Accounts Officer,D Mart,,
Bartender and Waiter,ICON HOTEL,,162000.0
Fresher Amazon / Non Voice Process,Amigo Ad Consultancy,,
Administration/Support/Service Employee,ZF,,
Sr.Process Associate- Records to Report,Siemens AG,,
Pharmacovigilance -Freshers,Whyflex Human Capital Solutions,,
